seg1,t1,seg2,t2
200,0.503913,189,0.359746
200,0.952365,190,-0.080407
200,0.540002,198,0.465333
201,0.909679,124,2.46161
201,0.578571,147,0.98082
201,0.364167,153,1.28608
201,0.302796,154,0.381621
201,1.02053,186,-0.0494194
201,0.975452,200,0.0408484
202,1.01374,124,2.05256
202,1.0328,147,0.684935
202,1.19377,153,1.05256
202,0.344721,184,0.763452
202,1.31929,201,0.384421
203,0.270788,124,0.453311
203,0.236033,147,0.737942
203,0.612956,149,-0.00359405
203,0.00874019,153,1.3615
203,-0.00254638,154,0.307457
203,0.959445,181,0.28837
203,0.564602,184,0.346034
203,0.0550713,201,0.377528
204,0.105481,117,0.823281
204,-0.382404,118,-2.06727
204,1.18673,120,1.59157
204,1.13472,124,0.788844
204,-0.36235,125,0.439256
204,1.04193,127,1.17442
204,1.06079,138,0.0698113
204,1.24632,148,-0.0549903
205,0.875513,42,-5.49561
205,0.854592,80,1.26434
205,0.506788,81,0.879258
205,0.95465,83,0.744326
205,0.32263,87,1.01932
205,-0.0230121,90,-0.266625
205,0.855788,124,-0.550466
205,0.845428,128,1.15255
206,1.08683,108,-0.439212
206,1.0877,110,0.054603
206,0.712584,118,0.258781
206,1.0875,122,0.00747784
206,0.43916,132,0.275413
206,1.07201,156,0.11533
207,-0.391663,206,0.489401
210,0.831298,35,6.57377
210,0.763602,108,0.577164
212,1.108,32,0.513411
218,0.799992,16,-0.00358849
219,1.5399,19,1.09606
219,0.284376,22,0.476971
220,0.871096,7,0.0862667
221,0.103281,22,1.36934
221,1.22147,26,0.385488
221,1.02348,219,1.3228
222,0.30378,22,1.67543
223,0.521003,26,0.779082
223,0.237854,52,1.38877
224,-0.486213,219,0.162642
225,-0.200868,22,1.39103
225,1.04743,219,0.833237
225,-0.139679,221,0.128338
226,0.204567,22,1.37975
226,0.188734,221,-0.062468
227,0.634744,35,0.348594
228,0.389591,1,0.839164
228,0.0948359,3,1.45918
229,1.0092,228,-0.0502231
