segment,a_x,a_y,a_z,b_x,b_y,b_z,t_min,t_max
123,-1.49746,0.434863,11.1787,1.11885,0.209057,-0.239165,-0.0012215,1
124,0.593467,-0.570532,10.4212,-0.00751234,0.0037277,1.61535,-0.762183,3.43024
125,1.91389,0.550193,11.6638,0.0227163,-1.01034,-0.037362,-0.118286,1.00038
126,2.42805,0.132139,11.6585,-0.107132,-0.99417,-0.0122295,-0.209512,0.288155
127,2.59849,-0.145199,11.6001,-1.65094,-0.311472,0.0150051,-0.297165,1.33306
128,1.59336,0.0955069,9.56232,-0.871804,-0.489721,-0.0114652,-0.599564,1.17079
129,1.94312,0.359712,11.2838,-0.962532,0.186731,-0.19663,-0.393118,0.703221
130,-1.1537,-0.37256,11.1649,0.00724268,0.870515,0.0147759,-4.2806e-07,1.02425
131,-1.88847,0.0544336,11.3423,0.0169316,-0.999853,-0.00291725,-0.238988,0.259287
132,-1.49986,-0.0976708,11.7244,-0.510291,-0.860002,0.000175696,-0.336102,0.317346
133,-1.12262,0.499781,11.6989,0.978445,0.2059,0.0158599,-0.402292,0.716618
134,0.396529,0.757742,12.5998,-0.983907,-0.167646,-0.952941,-0.463099,1.42025
135,-0.562955,0.631914,13.1494,-1.19838,-0.212229,0.233047,-0.155605,1.85816
136,0.414465,0.664156,12.4538,-1.00589,-0.0130114,-0.0173555,-0.331957,1.01339
137,0.347965,0.6877,12.0877,-0.903632,-0.00815923,1.12141,-0.393231,1.48846
138,0.655159,-0.577797,11.6605,-0.0231294,0.650822,0.746837,2.07757e-05,2.0675
139,0.14416,0.22888,11.7107,-0.871035,0.491158,0.00787863,-0.456744,0.803353
140,0.0401407,0.150631,11.7151,-0.871554,0.490292,0.00261511,-0.489388,0.878814
141,0.674047,0.614997,14.2293,-0.00221032,-0.00205162,1.5366,-1.97722,1.10532
142,0.696311,-0.48928,12.9228,-0.0164285,0.743446,-0.848001,-0.146567,1.38989
143,1.2636,-0.352794,13.1795,-0.0229441,0.907018,-0.00595501,-0.136486,1
144,2.26459,0.410894,13.3209,-1.66909,0.146173,-0.296845,-0.974834,1.0843
145,0.628324,0.00851629,13.0469,0.0134307,-0.999896,0.00537428,-0.527299,0.635267
146,1.34214,0.470572,11.6462,-1.15914,-0.60133,0.0267462,-0.0888605,1.21342
147,1.1926,-0.390355,13.1694,-0.94601,-0.237668,0.829935,-0.0108519,1.00002
148,0.42231,-0.569455,11.7423,-0.744208,-0.040942,0.912244,-0.771827,1.43742
149,1.20627,-0.0879912,13.7524,1.03831,0.0581417,-0.00441112,-4.14929,1.00033
150,0.478475,-0.00411961,13.7474,-0.997825,-0.0652014,0.00975533,-0.774772,1.44555
151,1.1276,0.180517,13.7442,2.0833,0.118784,-0.00755118,-0.9034,1.11938
152,0.649195,-0.53543,12.3239,-1.07286,-0.0500824,-0.025833,-2.21181e-05,1.30853
153,1.37488,-0.678738,13.7867,-1.03988,0.0800047,-0.0395266,-0.000702762,3.63028
154,-0.34252,-0.545532,14.053,0.847178,0.0423889,-1.03473,-0.404486,1.09477
155,-3.62333,-0.173378,13.5601,1.23678,-0.144836,-0.221822,-2.86057e-05,2.58171
156,-0.671473,-0.575051,11.5138,0.889144,0.0520505,1.14,2.52152e-05,1.42264
157,-1.70126,0.204882,13.7744,-0.699345,0.165714,-0.000432927,-2.38754,1.55422
158,-1.97834,-0.318005,11.2781,1.86269,-0.300675,-0.400986,-0.323623,0.999998
159,2.73866,-0.172319,13.3974,-2.11168,-0.372112,-0.391577,2.44735e-07,1.07517
160,1.2447,-0.373627,13.1014,0.108974,0.159249,-0.981206,-0.490299,1.49664
161,2.5271,-0.160575,11.3941,-1.18704,-0.230288,-0.279463,-0.43071,2.09512
162,1.18228,-0.310622,11.5237,-0.00322266,0.000382108,-0.999995,-1.72395,0.347014
163,1.41201,0.501767,13.6668,1.73233,-0.141564,-0.0261177,-1.96805,1
164,1.56793,-0.0988564,11.6273,-0.894467,0.447114,-0.00418263,-0.712804,1.03866
165,0.409173,0.743736,13.1928,-0.975501,-0.0306518,1.21606,-0.255788,1.03041
166,-0.597104,0.803831,14.4566,0.0629345,-0.939427,-1.05319,-2.86945e-05,1.33646
167,0.561413,0.769679,14.6049,-0.963937,-0.0222678,-1.44077,-4.91347e-05,1.21199
168,-2.56869,-0.17198,13.9993,0.999744,-0.00215586,0.0225465,-0.256562,0.404194
169,-2.84498,0.0856911,13.7538,0.849332,0.450109,0.0270169,-0.0955676,1.12402
170,-2.48141,-0.0440542,13.5209,0.0136468,-0.999887,0.00627336,-0.179357,0.189178
171,-1.98685,0.409897,13.5786,0.205959,-0.971589,0.0300438,-0.00042079,0.999969
172,0.500589,0.619811,14.4895,-1.09408,-0.0314961,1.3603,-0.165535,1.00001
173,-0.679652,0.528348,13.3444,0.742869,0.145237,0.653492,-0.425192,0.755741
174,-0.113397,0.667293,13.5615,-1.94652,-0.383349,-0.0381527,-0.0570389,1.23079
175,-0.0153968,0.616562,14.8519,0.824417,0.00591552,1.01228,-0.635426,1.00001
176,-0.434074,0.625187,15.036,0.8174,0.0195952,-0.0251874,-0.197911,1.40631
177,0.618363,0.377875,14.131,0.044286,-0.66446,-0.746011,-0.569353,0.681319
178,0.356519,0.681425,12.7797,-0.600148,0.016289,-0.799723,-0.901856,0.882851
179,1.00287,0.359742,13.9656,-0.984824,-0.0447941,-0.167676,-0.524443,0.858424
180,1.96307,0.363574,13.6732,-0.107564,-0.030233,-0.993738,-0.327865,0.319359
181,2.18526,0.0826106,13.7672,-0.933079,0.359668,-0.00123683,-0.522075,0.482687
182,2.2013,-0.224964,14.0085,-0.999506,-0.0312183,-0.00356493,-0.670308,1.01301
183,1.30057,0.250807,15.8301,-0.612678,0.334592,-0.634892,-0.125171,1.09596
184,0.626379,0.0918919,13.7787,1.37759,-0.634861,-0.0162889,-0.0772079,1.00011
185,0.713442,-0.642963,15.9192,-0.0635844,1.30763,-1.52884,-1.35833e-05,1.01125
186,0.68449,-0.49289,14.5692,-0.0124758,0.66115,0.771904,-0.227847,1.76086
187,0.664466,-0.520528,15.1552,-0.047095,1.15866,-0.0111405,6.95286e-06,1.00002
188,-0.345955,-0.0261527,15.1905,1.04686,0.0566533,-0.0364296,-0.184259,1.00004
189,0.442361,-0.549369,15.5884,-0.911221,-0.0529128,-1.27269,-0.298572,1.00009
190,-0.379955,-0.41219,15.6744,-0.0177557,1.09564,-1.24423,-0.215518,1.02249
191,-0.382466,-0.0328297,15.1161,-0.0423501,0.710684,0.805774,-0.737847,1.00001
192,-0.377315,-0.215532,15.1817,-0.0314859,0.87139,-0.00849072,-0.447009,1.0467
193,-1.08559,0.203532,15.9005,0.640265,0.407236,-0.699155,-0.0110731,1.14218
194,-0.429052,-0.405545,15.8876,-0.0109138,0.919608,0.00480231,-0.103837,0.999997
195,0.325354,-0.660327,15.9312,-0.598985,0.387488,-0.00488997,-0.166407,2.30071
196,0.431501,-0.765085,15.9218,-0.870508,0.468657,0.000543996,-0.0857681,1.76261
197,-0.357835,-0.61925,15.196,-0.731341,0.43079,0.808506,-5.65304e-06,1.00002
198,0.669338,-0.520984,15.1746,-1.28274,-0.00195145,0.0118758,-0.0635216,0.999999
199,0.937054,0.124297,15.9052,-1.2252,-0.388465,0.00106166,1.49906e-05,1.00005
200,0.685545,-0.523822,14.42,-1.13539,0.00794794,1.40761,-0.0212573,1.06535
