wall_time,processing_time,seg_vec_size,nblines
2.5284e+08,608000,130,10
2.53416e+08,575999,130,10
2.53856e+08,440000,130,10
2.54248e+08,392000,130,10
2.54624e+08,375999,130,10
2.55024e+08,400000,130,10
2.5544e+08,415999,130,10
2.55824e+08,384000,131,10
2.56184e+08,360000,131,10
2.5656e+08,376000,131,10
2.56944e+08,384000,131,10
2.57312e+08,368000,131,10
2.57712e+08,399999,131,10
2.58112e+08,400000,131,10
2.58504e+08,392000,131,10
2.588e+08,296000,131,10
2.59072e+08,272000,131,10
2.59368e+08,295999,131,10
2.59648e+08,280000,131,10
2.59952e+08,303999,131,10
2.60248e+08,296000,131,10
2.60528e+08,280000,131,10
2.60816e+08,288000,132,10
2.61104e+08,287999,132,10
2.61416e+08,312000,132,10
2.61728e+08,312000,132,10
2.62016e+08,288000,132,10
2.62312e+08,296000,132,10
2.62624e+08,312000,132,10
2.63056e+08,431999,132,10
2.63448e+08,392000,132,10
2.63848e+08,400000,133,9
2.64256e+08,408000,134,10
2.6476e+08,503999,135,10
2.65312e+08,552000,135,10
2.65872e+08,560000,137,10
2.664e+08,527999,138,10
2.66888e+08,488000,139,10
2.67336e+08,448000,139,10
2.67832e+08,495999,139,10
2.68288e+08,456000,139,10
2.68752e+08,464000,139,10
2.69144e+08,392000,139,10
2.69536e+08,392000,141,10
2.69904e+08,367999,141,10
2.70296e+08,392000,141,10
2.70688e+08,392000,141,10
2.71096e+08,408000,141,10
2.7156e+08,464000,143,10
2.71984e+08,423999,143,10
2.72352e+08,368000,145,10
2.72696e+08,344000,145,10
2.73056e+08,359999,145,10
2.73456e+08,400000,145,10
2.7384e+08,384000,145,10
2.74264e+08,424000,145,10
2.74664e+08,399999,145,10
2.75048e+08,384000,146,10
2.7544e+08,391999,146,10
2.75848e+08,408000,146,10
2.76256e+08,408000,146,10
2.7664e+08,383999,146,10
2.77008e+08,368000,146,10
2.77488e+08,480000,148,10
2.78016e+08,528000,149,10
2.78648e+08,632000,152,10
2.79232e+08,584000,153,10
2.79776e+08,544000,155,10
2.80312e+08,536000,157,10
2.80832e+08,519999,157,10
2.8136e+08,528000,157,10
2.81872e+08,512000,157,10
2.8244e+08,567999,158,10
2.82984e+08,544000,158,10
2.83576e+08,592000,158,10
2.84144e+08,568000,159,10
2.84696e+08,552000,159,10
2.85152e+08,455999,159,10
2.85664e+08,512000,159,10
2.86232e+08,568000,161,10
2.86768e+08,536000,162,10
2.8732e+08,551999,162,10
2.87832e+08,512000,162,10
2.88336e+08,504000,162,10
2.88888e+08,552000,162,10
2.894e+08,512000,162,10
2.89864e+08,464000,163,10
2.9028e+08,416000,163,10
2.90664e+08,383999,163,10
2.91016e+08,352000,163,10
2.91352e+08,336000,163,10
2.91632e+08,280000,163,10
2.9192e+08,288000,163,10
2.92216e+08,296000,163,10
2.92512e+08,296000,163,10
2.928e+08,288000,163,10
2.93088e+08,288000,163,10
2.93376e+08,288000,163,10
2.93664e+08,287999,163,10
2.9396e+08,296000,163,10
2.94224e+08,264000,163,10
2.94496e+08,272000,163,10
2.94752e+08,256000,163,10
2.95016e+08,264000,163,10
2.95296e+08,279999,163,10
2.95568e+08,272000,163,10
2.95856e+08,288000,163,10
2.96152e+08,296000,163,10
2.96432e+08,280000,163,10
2.96728e+08,296000,163,10
2.97024e+08,296000,163,10
2.97296e+08,271999,164,10
2.97608e+08,312000,164,10
2.9792e+08,312000,164,10
2.98208e+08,288000,164,10
2.98512e+08,304000,164,10
2.98792e+08,280000,164,10
2.9912e+08,328000,164,10
2.99408e+08,288000,164,10
2.99696e+08,288000,164,10
3.00032e+08,335999,164,10
3.004e+08,368000,164,10
3.00768e+08,368000,164,10
3.01144e+08,376000,164,10
3.01464e+08,319999,164,10
3.018e+08,336000,164,10
3.02136e+08,336000,164,10
3.02464e+08,327999,164,10
3.0292e+08,456000,164,10
3.03432e+08,512000,165,10
3.0412e+08,688000,165,10
3.04752e+08,632000,165,10
3.0532e+08,567999,167,10
3.05888e+08,568000,167,10
3.0632e+08,431999,167,10
3.06736e+08,416000,168,10
3.07152e+08,416000,168,10
3.07536e+08,384000,168,10
3.07672e+08,136000,168,10
3.07912e+08,192000,168,10
3.08112e+08,176000,168,10
3.08328e+08,184000,168,9
3.08536e+08,184000,169,10
3.08736e+08,168000,169,10
3.0892e+08,128000,170,10
3.0916e+08,152000,170,10
3.09376e+08,160000,170,10
3.09624e+08,192000,170,9
3.09856e+08,207999,170,9
3.10032e+08,167999,170,9
3.1024e+08,160000,170,10
3.10456e+08,168000,170,9
3.1064e+08,135999,170,7
3.10872e+08,152000,170,10
3.1112e+08,184000,170,10
3.1128e+08,136000,170,8
3.1148e+08,128000,170,8
3.11728e+08,152000,170,9
3.1192e+08,128000,170,6
3.12128e+08,120000,170,10
3.12336e+08,120000,170,9
